,Valor medio de NDVI,Imagem Clipada
0,0.07263857786591578,20171005_125939_1021__CLIPPED_ndvi.tif
1,0.002328190341250271,20171115_144510_0f33__CLIPPED_ndvi.tif
2,0.046568691303037466,20171007_145328_0f47__CLIPPED_ndvi.tif
3,0.10172488846978942,20180302_143038_1053__CLIPPED_ndvi.tif
4,0.11627176356220523,20180405_130743_1040__CLIPPED_ndvi.tif
5,0.01874575370168137,20171215_130156_1009__CLIPPED_ndvi.tif
6,0.0799349652290709,20170916_125749_0f38__CLIPPED_ndvi.tif
7,0.16409582587334964,20180313_130543_0e20__CLIPPED_ndvi.tif
8,0.10517083462990692,20171114_130122_1009__CLIPPED_ndvi.tif
9,0.004204971861007814,20180314_130622_1011__CLIPPED_ndvi.tif
10,0.0991212033309672,20180116_130523_0e19__CLIPPED_ndvi.tif
11,0.026240929681178617,20180308_130548_0f18__CLIPPED_ndvi.tif
12,0.1646819562420868,20180317_142811_101c__CLIPPED_ndvi.tif
13,0.079298599991747,20171014_130337_0e20__CLIPPED_ndvi.tif
14,0.06232934627042094,20180228_130417_1002__CLIPPED_ndvi.tif
15,0.08820696984966493,20170923_125747_101d__CLIPPED_ndvi.tif
16,0.04408971512877996,20180107_143840_0f3c__CLIPPED_ndvi.tif
17,0.03766422104875211,20180124_130415_102c__CLIPPED_ndvi.tif
18,0.0711686292228555,20180323_130652_102e__CLIPPED_ndvi.tif
19,0.04660445769723724,20180212_130502_102e__CLIPPED_ndvi.tif
20,0.0948913700635773,20180315_130633_103c__CLIPPED_ndvi.tif
21,0.08168618857587806,20170917_145537_0f4b__CLIPPED_ndvi.tif
22,0.23836848053891824,20180123_130500_0f22__CLIPPED_ndvi.tif
23,0.13737133476132504,20180127_130437_0f42__CLIPPED_ndvi.tif
24,0.21091478361354224,20171219_130229_1008__CLIPPED_ndvi.tif
25,0.028400093429088,20180214_130511_0f3f__CLIPPED_ndvi.tif
26,0.0009361074335051581,20171007_125851_1027__CLIPPED_ndvi.tif
27,0.13658267806350693,20180228_130418_1002__CLIPPED_ndvi.tif
28,0.10155342804385874,20180212_143322_1020__CLIPPED_ndvi.tif
29,0.10693346999432714,20180217_130537_101b__CLIPPED_ndvi.tif
30,0.09422680706603473,20180204_130545_0f43__CLIPPED_ndvi.tif
31,0.0732261588096559,20171110_130112_100e__CLIPPED_ndvi.tif
32,0.2080185724349309,20180403_130628_100c__CLIPPED_ndvi.tif
33,0.00010389695541519254,20171027_144941_100d__CLIPPED_ndvi.tif
34,0.0135024286218543,20180315_130632_103c__CLIPPED_ndvi.tif
35,0.2181209468755897,20171207_144346_1051__CLIPPED_ndvi.tif
36,0.1738175762186045,20171218_130338_0f17__CLIPPED_ndvi.tif
37,0.010354943971993921,20180302_130555_103c__CLIPPED_ndvi.tif
38,0.09342765924132977,20171009_130003_1008__CLIPPED_ndvi.tif
39,0.14199642845793048,20180307_130556_1033__CLIPPED_ndvi.tif
40,0.0407839589939464,20180212_143323_1020__CLIPPED_ndvi.tif
41,0.11148694326023875,20180115_143638_103f__CLIPPED_ndvi.tif
42,0.1502464454031122,20180205_130549_0e2f__CLIPPED_ndvi.tif
43,0.062451845453733515,20180304_143001_0f4d__CLIPPED_ndvi.tif
44,0.02345887807058747,20171007_145327_0f47__CLIPPED_ndvi.tif
45,0.07110182318507668,20171007_125852_1027__CLIPPED_ndvi.tif
46,0.10589215662879321,20180225_130616_102e__CLIPPED_ndvi.tif
47,0.07325049796047216,20171028_130025_1025__CLIPPED_ndvi.tif
48,0.08521336442242484,20170915_125756_1013__CLIPPED_ndvi.tif
49,0.28425360991673065,20180122_130336_103b__CLIPPED_ndvi.tif
50,0.07519772947459899,20180129_143438_1050__CLIPPED_ndvi.tif
51,0.2846418129805497,20180124_130414_102c__CLIPPED_ndvi.tif
52,4.873218205217024e-05,20171102_130039_1036__CLIPPED_ndvi.tif
53,0.14805152824717047,20180313_142854_1048__CLIPPED_ndvi.tif
54,0.3396400804788549,20180113_130423_103a__CLIPPED_ndvi.tif
55,0.06510861997399435,20180222_130511_1033__CLIPPED_ndvi.tif
56,0.0302008500850436,20180308_142914_0f2b__CLIPPED_ndvi.tif
57,0.08815712512862026,20171103_144916_0f40__CLIPPED_ndvi.tif
58,0.13137874342014236,20180207_130510_100a__CLIPPED_ndvi.tif
59,0.07291564625276033,20171215_130157_1009__CLIPPED_ndvi.tif
